product_id,product_name,category,brand,price,rating_avg_clean,total_views,total_clicks,total_purchase_rows,total_revenue,ctr_percent,click_to_purchase_rate_percent
bbc99c6e-1552-4677-8a8f-61a2e541e6c8,Apple Book4 Ultrabook,Electronics,Apple,259.07,3.9,746,300,28,7202.93,40.21,9.33
6e9b539a-77ad-4307-acb5-f558f8b5cc6f,Apple Accessorie Stand,Electronics,Apple,70.02,4.1,3329,1348,84,6140.92,40.49,6.23
58fd8edb-60ef-4856-bf1f-644ffc133d12,Wilson Book19 Fitness Equipment,Sports & Outdoors,Wilson,107.09,4.3,1599,628,41,5883.08,39.27,6.53
eaaf2b74-b09a-4bf5-b0b2-09021044cab8,Instant Pot Microfiber Kitchenware,Home & Kitchen,Instant Pot,94.87,4.2,1629,724,41,5218.45,44.44,5.66
dbe68f3f-99a8-4ef2-a103-908a6fca244d,Wilson Fitness Equipment Pro,Sports & Outdoors,Wilson,49.13,3.9,1264,511,55,3471.85,40.43,10.76
f81e1fd5-a01b-4fbe-81d6-5dc5ab19b03c,Castrol Prime7 Electronic,Automotive,Castrol,120.75,4.8,692,259,19,2791.99,37.43,7.34
1660a6f2-7ef5-4f47-a4aa-e917f41e014e,Tommy Hilfiger Womenswear Dress,Clothing & Accessories,Tommy Hilfiger,56.68,3.8,1461,587,37,2503.33,40.18,6.3
d3701c21-709a-4090-bab2-020261ce8a92,Cuisinart Smart Appliance,Home & Kitchen,Cuisinart,44.48,4.2,1061,426,41,2363.42,40.15,9.62
4b9c83ae-69fe-4826-ac62-bae53913ea33,Apple Accessorie Stand,Electronics,Apple,286.89,3.8,87,34,6,2318.48,39.08,17.65
8b875a73-88df-44ff-966d-5649d7a14d31,Nike Womenswear in Olive,Clothing & Accessories,Nike,64.5,4.2,680,247,27,2170.9,36.32,10.93
