brand,category,total_products,total_views,total_clicks,total_purchase_rows,total_revenue,avg_price,avg_rating,ctr_percent,click_to_purchase_rate_percent,revenue_per_view
Apple,Electronics,83,6040,2373,181,27578.67,224.16,4.28,39.29,7.63,4.57
Wilson,Sports & Outdoors,50,3948,1565,146,13924.9,66.67,4.03,39.64,9.33,3.53
Samsung,Electronics,38,1063,395,38,7905.05,232.21,4.42,37.16,9.62,7.44
Nike,Clothing & Accessories,78,3424,1358,132,6752.06,46.71,3.95,39.66,9.72,1.97
Instant Pot,Home & Kitchen,8,2266,958,66,6318.22,55.77,3.96,42.28,6.89,2.79
Adidas,Clothing & Accessories,32,1839,710,79,4471.91,40.06,3.64,38.61,11.13,2.43
KitchenAid,Home & Kitchen,64,1237,518,37,4247.24,54.99,4.12,41.88,7.14,3.43
Penguin Books,Books,65,2031,830,71,4017.35,15.41,3.87,40.87,8.55,1.98
Cuisinart,Home & Kitchen,28,1996,823,73,3901.83,62.39,4.43,41.23,8.87,1.95
Michelin,Automotive,7,1823,688,46,3538.67,51.6,4.4,37.74,6.69,1.94
Post-it,Office Products,6,1796,674,51,3098.88,41.3,4.02,37.53,7.57,1.73
LEGO,Toys & Games,44,1523,608,67,2957.55,35.15,3.97,39.92,11.02,1.94
Tommy Hilfiger,Clothing & Accessories,5,1711,695,48,2903.08,31.56,4.23,40.62,6.91,1.7
Castrol,Automotive,2,750,291,19,2791.99,87.93,4.8,38.8,6.53,3.72
Neutrogena,Beauty & Personal Care,7,1968,881,74,2669.27,20.51,3.58,44.77,8.4,1.36
L'Oreal,Beauty & Personal Care,42,1327,466,58,2471.3,25.36,3.83,35.12,12.45,1.86
Spalding,Sports & Outdoors,16,809,328,33,2425.3,58.15,4.04,40.54,10.06,3.0
Bosch,Automotive,13,715,267,36,2083.89,39.73,3.85,37.34,13.48,2.91
Staples,Office Products,13,570,199,26,1943.85,26.1,3.93,34.91,13.07,3.41
Timberland,Sports & Outdoors,3,412,151,20,1886.23,60.91,4.65,36.65,13.25,4.58
