device_type,referrer_source,total_sessions,total_users,converted_sessions,session_conversion_rate_percent
tablet,paid_search,160,158,19,11.88
tablet,email,170,166,17,10.0
mobile,display_ad,224,216,22,9.82
desktop,paid_search,483,465,43,8.9
desktop,referral,340,330,28,8.24
desktop,social_media,912,847,74,8.11
mobile,direct,2701,2226,212,7.85
mobile,organic_search,3932,2966,301,7.66
desktop,email,590,558,44,7.46
mobile,referral,567,532,42,7.41
tablet,direct,513,494,38,7.41
mobile,email,1128,1031,83,7.36
desktop,organic_search,2261,1914,164,7.25
mobile,social_media,1651,1440,114,6.9
mobile,paid_search,866,792,59,6.81
desktop,direct,1528,1357,101,6.61
tablet,organic_search,757,715,48,6.34
tablet,social_media,270,265,17,6.3
desktop,display_ad,122,120,7,5.74
tablet,display_ad,39,39,2,5.13
tablet,referral,101,100,5,4.95
