gender,income_level,loyalty_tier,preferred_category,country,total_users,total_sessions,total_orders,total_purchase_rows,total_revenue,order_conversion_rate_percent,revenue_per_user
Male,low,gold,Clothing & Accessories,BR,3,1,1,1,9.92,100.0,3.31
Female,high,platinum,Home & Kitchen,US,1,1,1,1,156.14,100.0,156.14
Male,medium,bronze,Sports & Outdoors,MX,1,1,1,1,50.99,100.0,50.99
Male,medium,gold,Clothing & Accessories,NL,1,1,1,1,29.96,100.0,29.96
Prefer not to say,very_high,silver,Automotive,FR,1,1,1,1,127.03,100.0,127.03
Male,medium,platinum,Home & Kitchen,BR,1,1,1,1,45.42,100.0,45.42
Male,low,silver,Home & Kitchen,SE,2,2,2,2,58.68,100.0,29.34
Male,low,gold,Toys & Games,DE,1,1,1,1,64.24,100.0,64.24
Female,medium,gold,Sports & Outdoors,DK,1,1,1,1,63.55,100.0,63.55
Female,high,gold,Electronics,SE,1,1,1,1,92.86,100.0,92.86
Non-binary,low,bronze,Clothing & Accessories,DE,1,1,1,2,84.54,100.0,84.54
Female,medium,silver,Home & Kitchen,AE,1,1,1,2,230.3,100.0,230.3
Non-binary,low,bronze,Toys & Games,NL,1,1,1,1,7.8,100.0,7.8
Male,high,gold,Sports & Outdoors,SE,1,1,1,2,95.51,100.0,95.51
Male,very_high,bronze,Books,IN,3,1,1,1,42.05,100.0,14.02
Female,medium,silver,Beauty & Personal Care,AU,1,1,1,3,84.57,100.0,84.57
Female,medium,silver,Electronics,BR,1,1,1,1,20.77,100.0,20.77
Female,low,silver,Home & Kitchen,ES,1,1,1,1,24.74,100.0,24.74
Male,low,gold,Toys & Games,IT,1,1,1,1,21.36,100.0,21.36
Female,very_high,bronze,Home & Kitchen,KR,1,1,1,1,93.39,100.0,93.39
Non-binary,high,bronze,Electronics,US,1,1,1,1,254.91,100.0,254.91
Male,medium,silver,Beauty & Personal Care,GB,1,3,2,2,111.55,66.67,111.55
Male,high,silver,Books,AE,1,3,2,2,134.62,66.67,134.62
Female,high,bronze,Home & Kitchen,BR,3,3,2,2,328.54,66.67,109.51
Female,high,bronze,Books,AE,1,2,1,1,42.15,50.0,42.15
Female,very_high,bronze,Sports & Outdoors,MX,2,2,1,1,247.12,50.0,123.56
Male,high,bronze,Books,DK,1,2,1,2,179.8,50.0,179.8
Female,very_high,bronze,Books,IT,2,2,1,1,45.25,50.0,22.63
Non-binary,low,silver,Grocery & Gourmet,CH,1,2,1,1,32.58,50.0,32.58
Male,medium,bronze,Beauty & Personal Care,JP,5,2,1,1,33.77,50.0,6.75
