product_id,product_name,category,brand,price,rating_avg_clean,stock_quantity,total_views,total_clicks,total_add_to_cart,total_purchase_rows,total_revenue,ctr_percent,click_to_purchase_rate_percent,opportunity_type,recommendation
c1ab2206-9b50-4aaa-9446-f322d0976ea6,The Data Structures: A Comprehensive Guide,Books,Simon & Schuster,19.97,3.9,5000,1954,734,467,43,1669.2,37.56,5.86,High Cart - Low Purchase,"Evaluate shipping cost, checkout friction, cart reminder, discount, and payment convenience."
2e1a3d22-2a05-4b6e-bfd8-4b5d5dab3009,Michelin Heavy-Duty Car Accessorie,Automotive,Michelin,40.15,4.7,10,1309,488,298,29,1325.89,37.28,5.94,High Cart - Low Purchase,"Evaluate shipping cost, checkout friction, cart reminder, discount, and payment convenience."
a060bcab-a7c8-45ea-823c-acda21f21c7b,Cuisinart Modern Lighting,Home & Kitchen,Cuisinart,21.67,5.0,39,122,47,33,3,63.55,38.52,6.38,High Cart - Low Purchase,"Evaluate shipping cost, checkout friction, cart reminder, discount, and payment convenience."
eb5e1d1d-8dff-4a1f-b019-87b266f12881,NOCO Car Care Kit,Automotive,NOCO,176.55,4.0,1,103,37,33,3,1079.21,35.92,8.11,High Cart - Low Purchase,"Evaluate shipping cost, checkout friction, cart reminder, discount, and payment convenience."
255578d3-3ac1-4b89-a398-b5522a1ca483,Samsung Pro Mirrorless Camera,Electronics,Samsung,338.3,5.0,3,81,32,21,2,688.07,39.51,6.25,High Cart - Low Purchase,"Evaluate shipping cost, checkout friction, cart reminder, discount, and payment convenience."
1776d6e9-cd02-4b90-b7bb-50156ed4ca06,"Samsung Essential 17"" Display Tablet",Electronics,Samsung,31.93,,3,52,16,13,1,30.73,30.77,6.25,High Cart - Low Purchase,"Evaluate shipping cost, checkout friction, cart reminder, discount, and payment convenience."
107fe93b-2caa-4f40-8f85-aa22394e764b,Spalding Outdoor Recreation Set,Sports & Outdoors,Spalding,151.39,,1,42,20,12,1,151.48,47.62,5.0,High Cart - Low Purchase,"Evaluate shipping cost, checkout friction, cart reminder, discount, and payment convenience."
f829c8e9-9729-48aa-baf8-122cb2eb1d21,Samsung Air Over-Ear Headphones,Electronics,Samsung,176.98,5.0,18,36,13,14,1,338.88,36.11,7.69,High Cart - Low Purchase,"Evaluate shipping cost, checkout friction, cart reminder, discount, and payment convenience."
89346311-6daa-4ff8-bc93-1872f795a3e4,Nike Gold-Plated Jewelry,Clothing & Accessories,Nike,48.96,5.0,1,33,17,11,1,49.2,51.52,5.88,High Cart - Low Purchase,"Evaluate shipping cost, checkout friction, cart reminder, discount, and payment convenience."
bf7c5518-5208-4f78-9552-7dd43c26e179,Maybelline Bath & Body Butter,Beauty & Personal Care,Maybelline,19.63,,1,33,7,11,1,18.82,21.21,14.29,High Cart - Low Purchase,"Evaluate shipping cost, checkout friction, cart reminder, discount, and payment convenience."
3432e9ed-d6bf-489c-9a63-2f6b63759434,WeatherTech Synthetic Fluid,Automotive,WeatherTech,16.31,,42,33,17,12,1,16.28,51.52,5.88,High Cart - Low Purchase,"Evaluate shipping cost, checkout friction, cart reminder, discount, and payment convenience."
7cdf9131-b156-41ee-901a-cdd51984ba9c,Nike Amethyst Jewelry,Clothing & Accessories,Nike,46.16,2.5,1,19,7,11,1,90.92,36.84,14.29,High Cart - Low Purchase,"Evaluate shipping cost, checkout friction, cart reminder, discount, and payment convenience."
e5cd5b01-94fc-42ef-b787-9ef2623fb03d,KitchenAid Furniture Set,Home & Kitchen,KitchenAid,33.67,5.0,1,182,86,33,3,173.27,47.25,3.49,High Click - Low Purchase,"Improve product page quality, description clarity, pricing, reviews, and trust signals."
e0eedfb6-a73e-4576-a467-254f95fa2e5e,Le Creuset Classic Appliance,Home & Kitchen,Le Creuset,117.52,1.0,6,153,50,25,1,121.9,32.68,2.0,High Click - Low Purchase,"Improve product page quality, description clarity, pricing, reviews, and trust signals."
f7d00f98-d143-46e7-ac9f-4e56089dab8c,Acer Accessorie Adapter,Electronics,Acer,37.55,3.0,1,148,67,22,2,73.25,45.27,2.99,High Click - Low Purchase,"Improve product page quality, description clarity, pricing, reviews, and trust signals."
964b36d0-bc20-40bc-8e1b-930dca2a6b31,KitchenAid Smart Appliance,Home & Kitchen,KitchenAid,25.43,4.0,1,121,48,21,2,75.12,39.67,4.17,High Click - Low Purchase,"Improve product page quality, description clarity, pricing, reviews, and trust signals."
eccc757e-5fbb-4601-84c8-d947bf6b76da,Apple Accessorie Cable,Electronics,Apple,52.23,4.0,67,103,41,17,1,54.64,39.81,2.44,High Click - Low Purchase,"Improve product page quality, description clarity, pricing, reviews, and trust signals."
cf301c21-300a-451e-ae20-31f93b065422,Apple Accessorie Charger,Electronics,Apple,225.99,2.0,1,100,35,20,1,222.11,35.0,2.86,High Click - Low Purchase,"Improve product page quality, description clarity, pricing, reviews, and trust signals."
4443c97f-0e31-4d06-8bce-d0987a75218e,Spalding Max6 Cycling,Sports & Outdoors,Spalding,39.21,3.5,66,85,43,19,2,196.79,50.59,4.65,High Click - Low Purchase,"Improve product page quality, description clarity, pricing, reviews, and trust signals."
add54b88-7fbc-4bd9-99e1-42fc308f3f72,Adidas Classic Fit Menswear,Clothing & Accessories,Adidas,30.96,5.0,2,81,32,13,1,32.37,39.51,3.13,High Click - Low Purchase,"Improve product page quality, description clarity, pricing, reviews, and trust signals."
bdd95c9d-a410-4b6d-84cc-1bc90cae699c,Cuisinart Denim Kitchenware,Home & Kitchen,Cuisinart,39.52,,1,69,35,16,1,41.28,50.72,2.86,High Click - Low Purchase,"Improve product page quality, description clarity, pricing, reviews, and trust signals."
42f9572a-31c3-4d9f-9fb1-ae2e8598ef45,Bosch Car Accessorie - Beige,Automotive,Bosch,66.98,5.0,1,68,25,14,1,68.69,36.76,4.0,High Click - Low Purchase,"Improve product page quality, description clarity, pricing, reviews, and trust signals."
6a0a57f4-080a-43ec-9a43-e8503602e4d7,KitchenAid Decorative Home Decor,Home & Kitchen,KitchenAid,83.06,,1,64,26,16,1,84.92,40.63,3.85,High Click - Low Purchase,"Improve product page quality, description clarity, pricing, reviews, and trust signals."
1e9375d3-32a3-4855-9af4-f0d384694c2b,Apple X12 Activity Band,Electronics,Apple,13.8,,6,62,24,18,1,14.11,38.71,4.17,High Click - Low Purchase,"Improve product page quality, description clarity, pricing, reviews, and trust signals."
9fc09c6f-3d90-4b33-a950-cc9b977df8ed,Castrol Universal Car Accessorie,Automotive,Castrol,55.11,,96,58,32,16,0,0.0,55.17,0.0,High Click - Low Purchase,"Improve product page quality, description clarity, pricing, reviews, and trust signals."
233ea18b-ca97-4371-ba51-51731e512c3a,Apple Prime Prime5,Electronics,Apple,175.72,,2,48,22,10,0,0.0,45.83,0.0,High Click - Low Purchase,"Improve product page quality, description clarity, pricing, reviews, and trust signals."
