month,total_views,total_clicks,total_add_to_cart,total_purchase_rows,total_orders,total_quantity_sold,total_revenue,ctr_percent,click_to_purchase_rate_percent
2023-01,242,86,39,4,3,6,197.24,35.54,4.65
2023-02,492,170,101,14,11,22,1124.23,34.55,8.24
2023-03,705,311,190,41,32,49,2706.91,44.11,13.18
2023-04,699,265,174,28,23,42,1918.38,37.91,10.57
2023-05,956,381,219,32,24,44,2552.58,39.85,8.4
2023-06,781,295,198,32,26,41,2549.52,37.77,10.85
2023-07,793,337,178,27,23,33,1904.17,42.5,8.01
2023-08,1053,375,214,19,16,28,1487.89,35.61,5.07
2023-09,973,381,191,27,22,35,1469.43,39.16,7.09
2023-10,843,342,199,27,24,44,3587.7,40.57,7.89
2023-11,1024,455,240,26,21,30,2049.66,44.43,5.71
2023-12,1206,453,244,31,24,40,2063.09,37.56,6.84
2024-01,1230,470,268,40,35,50,2511.41,38.21,8.51
2024-02,1036,388,240,30,26,42,2449.95,37.45,7.73
2024-03,1276,498,327,49,40,66,2766.89,39.03,9.84
2024-04,1241,501,293,37,30,63,3612.11,40.37,7.39
2024-05,1275,505,270,24,23,28,1411.8,39.61,4.75
2024-06,1106,444,221,27,21,34,2332.13,40.14,6.08
2024-07,1214,470,242,36,32,52,3276.74,38.71,7.66
2024-08,1292,505,316,52,41,76,5034.89,39.09,10.3
2024-09,1198,478,252,40,32,49,2412.32,39.9,8.37
2024-10,1378,608,365,62,52,90,3308.44,44.12,10.2
2024-11,1179,518,325,46,35,57,3352.63,43.94,8.88
2024-12,1377,552,339,59,46,78,4634.59,40.09,10.69
2025-01,1464,597,382,59,48,74,3780.87,40.78,9.88
2025-02,1603,607,338,57,48,75,3876.88,37.87,9.39
2025-03,1736,710,407,61,51,91,4719.14,40.9,8.59
2025-04,1427,567,358,48,41,67,3800.39,39.73,8.47
2025-05,1614,606,372,50,45,62,2944.69,37.55,8.25
2025-06,1453,634,406,65,57,84,5490.95,43.63,10.25
2025-07,1522,597,354,51,44,73,3916.39,39.22,8.54
2025-08,1493,562,382,74,60,93,4940.07,37.64,13.17
2025-09,1469,556,310,40,33,61,2725.07,37.85,7.19
2025-10,1558,646,415,49,41,65,3791.32,41.46,7.59
2025-11,1315,491,282,42,35,60,4454.8,37.34,8.55
2025-12,1507,547,337,47,42,62,3298.09,36.3,8.59
2026-01,1362,564,342,54,44,68,4046.76,41.41,9.57
2026-02,1278,519,348,58,46,71,5249.97,40.61,11.18
2026-03,1561,595,364,50,40,69,3397.72,38.12,8.4
2026-04,1732,687,414,58,51,80,3308.77,39.67,8.44
2026-05,1800,710,404,64,52,85,5054.27,39.44,9.01
