product_id,product_name,category,brand,price,rating_avg_clean,total_views,total_clicks,total_purchase_rows,total_revenue,ctr_percent,click_to_purchase_rate_percent
6e9b539a-77ad-4307-acb5-f558f8b5cc6f,Apple Accessorie Stand,Electronics,Apple,70.02,4.1,3329.0,1348.0,84.0,6140.92,40.49,6.23
dbe68f3f-99a8-4ef2-a103-908a6fca244d,Wilson Fitness Equipment Pro,Sports & Outdoors,Wilson,49.13,3.9,1264.0,511.0,55.0,3471.85,40.43,10.76
c1ab2206-9b50-4aaa-9446-f322d0976ea6,The Data Structures: A Comprehensive Guide,Books,Simon & Schuster,19.97,3.9,1954.0,734.0,43.0,1669.2,37.56,5.86
58fd8edb-60ef-4856-bf1f-644ffc133d12,Wilson Book19 Fitness Equipment,Sports & Outdoors,Wilson,107.09,4.3,1599.0,628.0,41.0,5883.08,39.27,6.53
eaaf2b74-b09a-4bf5-b0b2-09021044cab8,Instant Pot Microfiber Kitchenware,Home & Kitchen,Instant Pot,94.87,4.2,1629.0,724.0,41.0,5218.45,44.44,5.66
d3701c21-709a-4090-bab2-020261ce8a92,Cuisinart Smart Appliance,Home & Kitchen,Cuisinart,44.48,4.2,1061.0,426.0,41.0,2363.42,40.15,9.62
5d07bcd4-3670-4a0d-91f6-e36d7d335597,Adidas Sterling Silver Jewelry,Clothing & Accessories,Adidas,27.22,3.9,989.0,366.0,40.0,1524.11,37.01,10.93
1660a6f2-7ef5-4f47-a4aa-e917f41e014e,Tommy Hilfiger Womenswear Dress,Clothing & Accessories,Tommy Hilfiger,56.68,3.8,1461.0,587.0,37.0,2503.33,40.18,6.3
c2e39751-db17-424f-8d71-61ec7ecad424,Neutrogena Bath & Body Lotion,Beauty & Personal Care,Neutrogena,33.8,4.3,1073.0,504.0,37.0,1818.69,46.97,7.34
25a6c99c-d63c-4697-91ef-744b7879d605,Post-it Premium Stationery Set,Office Products,Post-it,45.91,4.1,1330.0,477.0,34.0,1926.2,35.86,7.13
